rank1,rank2,rank3,wr_prose,wr_bullet,wr_header,ordering
header,bullet,prose,0.2426470588235294,0.38235294117647056,0.875,header > bullet > prose
header,bullet,prose,0.23648648648648649,0.34459459459459457,0.918918918918919,header > bullet > prose
header,bullet,prose,0.24404761904761904,0.3630952380952381,0.8928571428571429,header > bullet > prose
header,bullet,prose,0.21428571428571427,0.35,0.9357142857142857,header > bullet > prose
header,bullet,prose,0.25675675675675674,0.3581081081081081,0.8851351351351351,header > bullet > prose
header,bullet,prose,0.25,0.3333333333333333,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.21052631578947367,0.375,0.9144736842105263,header > bullet > prose
header,bullet,prose,0.2,0.36428571428571427,0.9357142857142857,header > bullet > prose
header,bullet,prose,0.22794117647058823,0.3382352941176471,0.9338235294117647,header > bullet > prose
header,bullet,prose,0.24305555555555555,0.375,0.8819444444444444,header > bullet > prose
header,bullet,prose,0.24404761904761904,0.35714285714285715,0.8988095238095238,header > bullet > prose
header,bullet,prose,0.22972972972972974,0.3310810810810811,0.9391891891891891,header > bullet > prose
header,bullet,prose,0.23684210526315788,0.35526315789473684,0.9078947368421053,header > bullet > prose
header,bullet,prose,0.25,0.3402777777777778,0.9097222222222222,header > bullet > prose
header,bullet,prose,0.25,0.30405405405405406,0.9459459459459459,header > bullet > prose
header,bullet,prose,0.25609756097560976,0.31097560975609756,0.9329268292682927,header > bullet > prose
header,bullet,prose,0.21875,0.375,0.90625,header > bullet > prose
header,bullet,prose,0.21052631578947367,0.39473684210526316,0.8947368421052632,header > bullet > prose
header,bullet,prose,0.2125,0.36875,0.91875,header > bullet > prose
header,bullet,prose,0.2785714285714286,0.34285714285714286,0.8785714285714286,header > bullet > prose
header,bullet,prose,0.24342105263157895,0.3355263157894737,0.9210526315789473,header > bullet > prose
header,bullet,prose,0.22727272727272727,0.3560606060606061,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.23529411764705882,0.375,0.8897058823529411,header > bullet > prose
header,bullet,prose,0.23684210526315788,0.32894736842105265,0.9342105263157895,header > bullet > prose
header,bullet,prose,0.2421875,0.3828125,0.875,header > bullet > prose
header,bullet,prose,0.2222222222222222,0.3402777777777778,0.9375,header > bullet > prose
header,bullet,prose,0.1987179487179487,0.36538461538461536,0.9358974358974359,header > bullet > prose
header,bullet,prose,0.25,0.3353658536585366,0.9146341463414634,header > bullet > prose
header,bullet,prose,0.23026315789473684,0.375,0.8947368421052632,header > bullet > prose
header,bullet,prose,0.25,0.35526315789473684,0.8947368421052632,header > bullet > prose
header,bullet,prose,0.23717948717948717,0.358974358974359,0.9038461538461539,header > bullet > prose
header,bullet,prose,0.2785714285714286,0.32142857142857145,0.9,header > bullet > prose
header,bullet,prose,0.25,0.33783783783783783,0.9121621621621622,header > bullet > prose
header,bullet,prose,0.19852941176470587,0.38235294117647056,0.9191176470588235,header > bullet > prose
header,bullet,prose,0.22297297297297297,0.3918918918918919,0.8851351351351351,header > bullet > prose
header,bullet,prose,0.25,0.3161764705882353,0.9338235294117647,header > bullet > prose
header,bullet,prose,0.23717948717948717,0.34615384615384615,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.21710526315789475,0.3881578947368421,0.8947368421052632,header > bullet > prose
header,bullet,prose,0.20270270270270271,0.39864864864864863,0.8986486486486487,header > bullet > prose
header,bullet,prose,0.2638888888888889,0.3402777777777778,0.8958333333333334,header > bullet > prose
header,bullet,prose,0.2638888888888889,0.3472222222222222,0.8888888888888888,header > bullet > prose
header,bullet,prose,0.22857142857142856,0.36428571428571427,0.9071428571428571,header > bullet > prose
header,bullet,prose,0.25,0.358974358974359,0.8910256410256411,header > bullet > prose
header,bullet,prose,0.2361111111111111,0.375,0.8888888888888888,header > bullet > prose
header,bullet,prose,0.22674418604651161,0.37209302325581395,0.9011627906976745,header > bullet > prose
header,bullet,prose,0.23809523809523808,0.3273809523809524,0.9345238095238095,header > bullet > prose
header,bullet,prose,0.22435897435897437,0.3782051282051282,0.8974358974358975,header > bullet > prose
header,bullet,prose,0.21875,0.35,0.93125,header > bullet > prose
header,bullet,prose,0.22857142857142856,0.37857142857142856,0.8928571428571429,header > bullet > prose
header,bullet,prose,0.23170731707317074,0.35365853658536583,0.9146341463414634,header > bullet > prose
header,bullet,prose,0.2635135135135135,0.32432432432432434,0.9121621621621622,header > bullet > prose
